GeneID	GSM5239695	GSM5239696	GSM5239697	GSM5239698	GSM5239699	GSM5239700	GSM5239701	GSM5239702
2313	88.78	56.72	24.79	34.45	15.88	18.58	30.53	34.88
100507392	9.4	11.01	4.819	7.245	1.787	2.56	6.669	8.911
3758	5.928	2.607	1.502	2.521	0.5107	0.7316	0.8663	2.759
107984409	1.546	0.3105	0.2162	0.7255	0.098	0.0324	0.1596	0.3258
3762	0.03402	0	0	0	0	0	0	0
219833	0.2117	0.1027	0	0.2057	0.1297	0.0643	0.198	0.1617
63970	0.02295	0.04456	0.03102	0	0	0.01394	0.01717	0.07012
9743	4.086	3.43	1.578	1.104	0.4445	1.073	1.027	3.036
399975	1.865	3.507	1.89	0.5663	0.4641	0.6018	0.9156	1.513
105369571	0	0	0	0	0	0	0	0
105369572	0	0	0	0	0	0	0	0
8538	0	0	0	0	0	0	0	0
107984410	0.03657	0	0	0	0	0	0	0
101929557	1.714	2.495	6.08	2.082	1.181	2.733	2.244	5.235
120224	3.702	1.682	7.451	6.889	1.978	2.153	1.827	8.06
4798	19.87	13.4	15.35	14.11	4.32	4.575	8.876	15.7
56980	5.199	4.344	6.238	8.201	1.942	1.954	3.244	4.949
440072	2.572	0.8558	1.49	0.7141	0.8552	1.83	1.209	1.908
107984432	0.1489	0	0.2012	0	0	0	0	0
334	191.5	184.6	84.23	71.88	59.55	90.43	32.85	74.69
6768	25.46	6.054	4.731	2.845	1.443	3.48	2.286	4.569
29068	21.59	21.88	21.2	33.1	7.206	9.089	13.11	21.39
646383	0.2173	0.8437	0.8811	0.4224	0	0.132	0.1626	0.3319
11095	0.174	0.1126	0.2351	0	0	0	0.04338	0.3543
170689	0	0	0	0	0	0	0	0
105369574	0	0	0	0	0	0	0	0
102466873	0	0	0	0	0	0	0	0
283171	0	0	0	0	0	0	0	0
105369575	0	0	0	0	0	0	0	0
105369576	0	0	0	0	0	0	0	0
100507431	0.2896	1.405	0.1957	0.2814	0.08869	0	0.325	0
103611081	4.051	3.88	1.991	1.943	0.7089	1.374	1.929	4.66
399979	15.51	13.97	9.209	10.28	4.8	7.921	11.25	15.97
105369577	0	0	0	0	0	0	0	0
107984411	0	0	0	0	0	0	0	0
105369579	0	0	0	0	0	0	0	0
105369578	0	0	0	0	0.03211	0	0	0
107984412	0	0	0	0	0	0	0	0
50863	0	0	0.02627	0	0	0	0.01454	0.05937
101929653	0	0	0.06558	0	0	0	0	0
101929637	0	0	0	0	0	0	0	0
107984413	0	0	0.03623	0	0	0	0	0
100874281	0	0	0	0	0	0	0	0
4978	0	0	0.01496	0	0	0	0	0
105369580	0	0	0	0	0	0	0	0
646522	0	0	0	0	0	0	0	0
219938	0	0	0	0	0	0	0	0
283174	1.11	3.617	3.483	1.849	0.9715	1.156	1.72	3.512
100616119	2.697	10.47	14.58	5.242	4.956	6.554	6.053	4.119
22997	1.215	1.922	2.767	2.668	1.075	0.9705	1.532	2.199
107984414	0	0	0	0	0	0	0	0
100128239	0.915	0.3552	0.1237	0	0.05605	0.2779	0.3423	0.2795
83700	2.635	1.983	3.634	2.927	1.186	1.96	3.581	4.107
107984040	0	0.2382	0.4976	0	0.07518	0.1491	0	0
23310	10.27	8.356	7.263	9.77	3.079	4.84	7.281	7.963
109623486	2.768	5.373	0	5.38	0	3.363	6.213	0
112936	21.12	16.78	9.623	14.51	4.452	6.653	11.68	11.55
29087	29.51	21.66	21.9	25.85	16.2	19.13	28.71	26.39
27034	9.709	8.839	7.832	9.948	3.942	4.664	5.434	10.52
112937	0.6583	0.3084	0.7669	0.7059	0.4727	0.3309	0.4415	1.179
89944	0.6443	0.08934	0.1866	2.862	0.141	0.08388	0.5853	0.3515
27087	0.5519	0.05639	0	4.799	0	0.01765	0.3477	0.08873
283177	0	0	0	0.2988	0	0	0.1725	0
105369583	0	0	0	0	0	0	0	0
105369584	0	0	0	0	0	0	0	0
729305	0.06306	0	0	0	0	0	0	0
105369586	0	0	0	0	0	0	0	0
100507548	0	0	0	0	0	0	0	0
105369588	0	0	0	0	0	0	0	0
105369587	0	0	0	0	0	0	0	0
105369589	0	0	0	0	0	0	0	0
107987373	9.422	8.514	15.59	5.999	7.264	11.25	6.928	5.458
107987374	0.2766	0	0.3738	0.3583	0	0.056	0.06897	0.2816
107987375	0.09844	0	0	0	0	0	0	0
112267876	0	0	0	0	0	0	0	0
102724852	0.08979	0	0	0	0.055	0	0.06717	0
100288778	22.1	16.12	13.04	18.1	2.955	5.521	18.13	12
107987170	0	0	0	0	0	0	0	0
677784	0	0	0	0	0	0	0	0
440073	0	0	0.1005	0	0.03037	0	0	0.07572
105369593	3.129	4.672	2.602	3.743	1.18	2.632	0.1801	3.676
574538	0	0	0	0	0	0	0	0.1105
105369592	0	0.08486	0.2363	0	0.02678	0.02656	0	0.3339
6539	2.429	2.271	0.608	1.486	0.9094	0.6286	0.4039	1.099
101929384	1.106	1.073	0.3736	0.5373	0.1693	0.3359	0.4136	0
6540	0.885	0.3436	0.0598	0.258	0.08132	0.08065	0.09932	0.1352
102723544	0.4182	0	0	0	0	0	0	0
5927	50.72	56.4	45.8	53.57	20.98	32.21	44.32	52.73
84318	10.17	9.874	6.409	6.703	3.961	4.347	6.644	10.4
105369594	0.1439	0.8379	0.5834	1.119	0.2644	0.1748	0.9689	1.099
283358	1.647	0.8921	0.3623	0.4466	0.305	0.3257	0.4871	0.117
4815	10.97	4.107	6.433	5.654	3.483	3.856	7.222	6.261
105369595	1.169	2.269	0	0	0.9546	0	0.2915	0
100049716	6.658	3.144	5.229	4.722	1.488	1.421	3.501	3.848
105369597	0	0	0	0	0	0	0.485	0
101929432	0	0	0	0	0.09711	0	0	0
65125	49.01	51.34	23.81	26.63	8.194	10.45	17.01	37.76
5893	11.55	11.05	8.022	10.2	2.053	2.379	6.797	11.96
