GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
673	9.409	1.782	1.294	10.24	1.218	1.38	9.119	1.823	10.46	2.093	1.588	5.104	1.675	2.604
105375536	7.675	0.5521	0.4878	1.396	0.08817	0.2077	0.4248	0.1988	0.6088	0.1597	0.1175	0.1656	0.1578	0.2679
107986720	0	0	0	0	0.02374	0	0	0	0	0	0.04126	0	0	0
51650	16.24	3.806	2.182	38.15	2.979	3.147	20.9	2.69	29.49	4.6	3.428	15.26	4.459	6.017
107986719	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105375537	0	0	0	0	0.009038	0	0.06757	0	0	0.01754	0.03926	0	0	0
100507421	0.008514	0	0.005658	0	0.01412	0.004819	0	0.003316	0.006412	0.005328	0.04429	0.003155	0.004212	0.01986
105375538	0	0	0	0	0.02026	0.003459	0.1066	0.0119	0.1043	0.006554	0.05085	0.01811	0.0141	0.04181
55750	11.98	2.355	1.65	18.71	2.056	1.933	17.43	2.064	22.57	3.705	3.175	16.55	4.016	6.086
57189	14.2	2.977	2.563	19.99	3.083	2.66	8.44	1.628	7.675	2.807	1.779	7.731	2.695	3.325
285962	1.051	0.1454	0.1353	0.5932	0.1887	0.3717	0.4944	0.1381	0.5935	0.1925	0.1934	0.3407	0.08662	0.2696
494551	0.1262	0	0.01613	1.151	0.05363	0.04395	0.1337	0.06047	0.1072	0.0347	0.1025	0.1007	0.009601	0.01207
6742	82.83	17.52	10.95	170.2	12.26	13.86	132	18.76	192.8	28.34	22.47	96.78	25.76	35.27
50831	0.3508	0.07469	0.0269	0	0.1889	0.2138	0.545	0.03152	0.3522	0.09648	0.01727	0.48	0.02669	0.03357
50832	0.2311	0.1218	0.05484	1.631	0.1216	0.09342	0.5152	0.05142	0.4972	0.0118	0.05283	0.3425	0.05443	0
54429	0.4904	0.131	0.06004	0.5465	0.1617	0.1169	0.3081	0.05026	0.8035	0.0646	0.04957	0.3061	0.09363	0.08027
136242	0.002837	0	0.003771	0.004005	0.0115	0	0.06773	0.009944	0.1311	0.01725	0.01907	0.06308	0.01029	0.01235
130075	0	0	0	0	0.04005	0	0.02496	0	0	0.009718	0.0435	0	0	0
