GeneID	GSM2202553	GSM2202554	GSM2202555	GSM2202556	GSM2202557	GSM2202558	GSM2202559	GSM2202560	GSM2202561	GSM2202562	GSM2202563	GSM2202564	GSM2202565	GSM2202566	GSM2202567	GSM2202568	GSM2202569	GSM2202570	GSM2202571	GSM2202572	GSM2202573
64170	1.888	0.6794	0.2986	2.789	9.585	1.267	1.443	0.8632	2.303	1.762	1.482	1.974	8.495	1.773	3.608	0.8663	0.8585	0.5415	3.08	0.8497	1.693
6621	3.889	7.332	7.758	7.769	7.536	8.495	8.071	8.027	4.339	6.654	7.924	15.03	11.75	13.29	12.79	16.29	11.28	11.07	12.62	9.863	10.56
10807	24.11	26.63	37.37	33.5	38.64	42.07	34.7	26.83	22.03	31.25	40.65	55.76	47.62	49.33	54.26	55.27	44.02	45.88	48.52	38.56	44.36
23203	16.26	25.86	24.41	24.6	28.39	22.16	28.4	26.3	20.49	17.49	25.27	39.6	33.78	40.36	39.53	41.5	36.22	33.65	35.98	28.37	35.6
56623	9.953	9.196	15.6	15.42	14.88	16.11	15.53	8.915	8.629	8.485	18.96	31.45	24.48	27.78	32.06	30.88	27.13	20.43	24.43	22.51	20.59
9919	11.2	16.02	21.54	22.39	21.68	21.89	24.03	20.85	16.65	19.84	30.5	42.16	34.75	37.81	43.58	45.79	34.04	29.05	42.14	30.38	39.82
158055	0.1777	0.5141	0.5316	0.3602	0.2005	0.6066	0.4575	0.2577	0.1987	0.3041	0.217	0.9174	0.5795	0.7789	0.7803	1.136	0.5926	0.4777	0.9994	0.65	0.7142
4851	9.174	10.45	15.64	12.57	14.94	15.11	15.05	15.65	9.081	10.31	19.03	34.28	28.14	26.22	27.03	36.59	26.3	19.22	28.94	22	27.71
100616242	0	0	0	0	0	0	0	0	1.471	0	0	1.359	0	1.154	0.8605	1.55	2.88	0	0	0	0
100616301	2.975	0	0	3.929	0	0	0	3.962	0	3.054	4.359	3.685	3.259	2.347	4.085	0.5255	1.953	0.73	1.495	1.672	1.141
101928483	3.365	2.223	0.4861	2.296	3.208	4.188	1.281	1.263	0	4.947	3.473	6.166	1.817	4.113	3.813	4.103	3.941	4.187	4.168	1.421	2.909
401561	0	0	0.1755	0	0.2446	0.4565	0	0.2316	0	0	0	0.1885	0.08334	0.2801	0.0597	0.01344	0.09988	0.05601	0.8983	0.0855	0.3793
105376325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06077	0	0
102724193	0.02379	0	0	0	0	0	0	0	0	0	0	0	0	0.06255	0	0	0.05205	0	0	0	0
101928612	0.04646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2033	0	0.1167	0	0
51162	0.01518	0	0.06326	0.5069	0	0.2215	0.1147	0.26	0.1273	0.2078	0.05563	0.6583	0.2911	0.1996	0.1117	0.1676	0.216	0.2515	0.3815	0.2062	0.7717
406913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10555	6.244	5.887	7.232	9.114	12.63	7.981	10.38	5.256	8.225	7.018	6.378	9.851	15.73	12.59	9.097	9.7	8.205	7.394	8.875	9.909	14.77
138311	1.444	2.143	2.155	2.477	2.32	3.067	2.083	2.701	1.727	1.366	2.176	3.849	2.586	2.595	3.753	3.498	2.986	3.723	2.924	2.317	2.08
84973	20.43	25.09	22.52	23.4	22.77	29.06	24.59	24.71	15.13	23.89	26.46	32.86	28.9	21.68	32.37	34.38	28.41	29.57	24.73	24.7	15.96
677824	5.987	7.616	7.923	1.701	5.556	8.371	4.607	4.778	3.887	8.592	2.83	17.35	15.87	5.587	8.336	14.67	9.298	11.37	10.19	9.045	7.408
677804	10.12	11.61	15.96	9.709	8.891	11.68	13.92	2.222	11.42	6.326	13.9	14.46	17.59	17.4	19.85	22.34	15.33	11.94	16.13	13.49	12.69
414332	0.2824	0.9752	0.753	0.01658	1.013	2.448	1.168	0.8383	0.2273	0.3866	1.324	1.26	0.8354	0.6832	2.327	0.9579	0.9888	1.053	1.476	0.5925	2.817
158062	0	0	0	0	0.1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06847	0.1402
100128593	0	0	0	0	0.04862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03588	0.03674
102465431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138307	0	0	0.06556	0.4754	0	0	0	0	0	0.5543	0	0.1848	0.2568	0	0	0.3162	0	0	0.02142	1.07	0
389812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1192	0	0	0	0	0
107987143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85014	50.89	41.16	45.87	41.06	43.74	46.9	58.32	44.37	43.25	40.48	36.9	45.86	44.52	48.59	54.52	48.33	49.75	45.34	40.84	36.52	43.78
84960	3.469	4.902	4.582	5.312	7.018	6.336	5.372	3.932	3.516	5.703	6.106	9.295	7.187	5.671	6.923	7.78	8.745	8.438	6.404	5.198	8.388
100131193	2.05	3.086	3.031	4.775	4.222	2.043	3.363	2.188	1.037	2.487	4.093	4.535	3.565	3.794	4.128	4.656	4.676	3.54	3.325	2.255	3.994
