GeneID	GSM3591825	GSM3591826	GSM3591827	GSM3591828	GSM3591829	GSM3591830	GSM3591831	GSM3591832	GSM3591833	GSM3591834
222962	0.05556	0.1001	0.2541	0.1744	0.2736	0.3272	0.4883	0.07138	0.1478	0.1985
84629	4.126	9.1	6.36	5.508	8.214	3.876	7.898	7.293	6.103	8.069
100129484	0.06137	0.1106	0.1203	0	0.3778	0.07608	0.04495	0.05257	0.1045	0.1548
80028	1.716	4.635	1.77	1.325	1.667	1.912	2.638	1.89	1.462	1.988
693174	1.094	11.34	1.072	3.863	0	2.543	4.807	4.216	0	6.896
221946	3.707	7.136	3.139	3.305	1.972	5.57	5.31	5.258	4.487	5.683
60	3681	4584	1212	1208	2295	3749	4825	1352	1185	1563
6624	8.519	13.48	0.7626	0.9312	1.15	18.21	13.95	1.299	1.031	1.349
107986762	1.613	1.767	1.022	2.123	1.283	2.861	2.426	1.594	2.171	2.66
54476	15.51	25.39	25.53	43.62	31.8	18.92	27.92	27.96	49.97	41.9
100874342	2.089	4.779	5.985	5.675	3.561	1.195	1.059	5.78	4.411	9.522
102466203	3.813	0.6874	0	2.394	0	1.418	4.189	3.919	5.843	2.885
401303	2.726	2.059	4.214	29	4.893	1.588	1.202	3.601	22.03	9.826
654231	0.2975	0.3352	1.896	4.845	0.8243	0	0.08172	0.7645	4.321	3.751
51622	33.87	39.96	19.41	19.81	24.55	31.77	40.06	21.64	23.79	23.65
107986694	25.11	34.62	13.3	12.67	20.55	21.96	37.87	13.25	16.64	16.6
222967	0.1778	0.4274	0.4648	0.5932	0.1642	0.2067	0.3419	0.3808	0.4731	0.2429
5395	11.02	15.34	8.717	8.834	9.87	10.73	14.98	9.666	9.428	9.121
7965	16.68	33.88	3.806	3.932	8.058	16.03	25.2	6.714	4.79	5.47
109616999	16.04	7.953	5.504	4.407	0	12.68	10.14	4.123	4.353	2.023
27102	21.6	33.38	19.08	16.96	22.78	20.34	33.53	18.14	17.43	17.75
100310846	2.512	2.95	2.76	3.255	3.514	2.618	2.717	5.378	3.498	3.263
84132	3.202	6.523	4.467	5.938	6.353	3.204	5.474	4.669	6.083	6.175
9265	0.5151	0.7934	2.203	1.396	2.941	0.3744	0.5144	2.623	1.357	3.554
84792	7.196	9.805	9.42	8.5	8.38	8.323	9.299	12.6	8.954	8.334
5879	40.51	67.29	23.24	22.33	27.48	33.96	59.24	27.4	21.87	24.21
221955	6.811	9.375	8.901	9.449	8.523	7.094	9.629	13.15	18.16	11.61
11014	20.68	41.92	11.47	12.02	15.01	21.04	35.47	12.09	12.21	12.6
392862	0.09229	0.2183	1.334	0.3893	0.04261	0.1502	0.2915	1.601	0.7291	0.6254
101927325	0.3395	0.153	1.331	0.6395	0	0.5366	0.1865	1.483	0.5202	0.2568
55146	11.87	12.95	13.28	10.57	8.434	11.48	10.72	10.36	11.98	10.75
79034	7.853	16.96	17.45	16.91	20.32	8.844	14.28	17.86	18.04	18.69
54753	0.1098	0.9026	1.694	1.884	5.98	0.2041	0.3768	2.538	3.057	3.996
100131017	2.829	6.543	11	10.21	9.994	2.904	4.891	13.6	11.15	10.69
7559	12.68	17.18	14.64	25.28	25.23	16.9	21.17	19.41	26.49	21.42
441194	12.49	16.15	11.36	14.99	14.39	17.21	23.96	17.45	21.32	17.09
728194	0.2174	0.6718	0.761	0.8775	0.8031	0.231	0.3412	0.2793	0.6543	0.4895
221960	55.15	66.77	33.3	30.76	39.66	34.64	41.83	21.67	25.85	26.03
107986696	27.69	42.93	20.49	16.08	22.06	17.04	23.26	9.764	12.82	12.49
112267992	0.008568	0	0	0.01345	0	0.007967	0.009413	0	0.00547	0.03241
107986763	0	0.06952	0	0	0	0	0	0	0	0
