GeneID	GSM2090431	GSM2090432	GSM2090433	GSM2090434	GSM2090435	GSM2090436	GSM2090437	GSM2090438	GSM2090439	GSM2090440	GSM2090441	GSM2090442	GSM2090443	GSM2090444	GSM2090445	GSM2090446	GSM2090447	GSM2090448
11033	112	116.6	77.45	113.7	121.2	425.5	38.51	18.67	48.94	49.89	31.69	105.3	16.42	5.971	14.55	14.94	18.73	8.925
90639	7.148	6.072	6.659	7.839	5.775	5.875	7.885	5.627	7.98	7.816	6.871	7.741	8.983	6.508	9.498	8.067	6.207	9.607
84310	5.257	5.483	4.1	7.507	4.378	3.349	7.962	8.68	6.044	7.458	6.921	4.845	16.22	11.42	16.56	17.1	32.67	14.57
54905	0	0	0	0	0	0	0.08508	0	0	0	0	0	0	0	0	0	0	0.09209
442907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.708	0
115330	0.4177	0.3991	0.1388	0.2032	0.1482	0.3413	0.9229	0.2688	0.9903	0.672	0.3913	0.4956	23.08	9.642	27.22	36.94	56.99	35.04
107986755	0	0.0518	0	0	0	0.02658	0	0.02617	0.02755	0.06542	0.03047	0	0.1049	0.137	0.1026	0.716	1.444	0.3591
105375120	0	0	0	0.0592	0	0.02983	0	0	0.03091	0.0367	0	0.06188	0.07848	0.123	0.03837	0.2556	0.7114	0.1343
2852	0	0	0.0639	0.1871	0	0	0	0	0	0	0	0.0652	0.0827	0	0	0.3078	0	0.07075
102723758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1202	0	0	0
90637	15.95	13.39	12.94	9.683	16.2	15.05	16.11	13.22	14.1	11.58	15.25	11.98	15.31	14.03	9.456	9.75	10.84	10.39
101927021	1.611	2.415	1.68	0.9459	1.725	0.5084	2.115	2.815	1.251	1.016	3.788	1.714	3.177	3.734	2.616	1.634	3.368	1.931
340260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
79778	0.1594	0.1184	0.06179	0.1508	0.132	0.03039	0.09482	0.1496	0.2519	0.1122	0.209	0.09456	0.5198	0.282	0.3909	0.2604	0.1611	0.2395
107986756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4752	0.2261	0	0
26173	26.45	38.31	25.48	36.01	32.16	23.3	33.25	42.99	29.56	30.87	36.98	32.52	30.13	31.67	38.55	34.4	26.99	33.73
7975	12.38	13.8	9.685	11.6	12.75	25.3	7.444	7.691	9.506	10.61	11.73	12.34	15.32	14.19	21.66	19.5	13.16	16.4
100128653	4.702	3.392	1.609	2.277	3.865	13.45	0.3291	0.3115	0.9838	2.531	0.8162	3.775	0.3123	0.8157	1.221	0.8717	0.4193	0.6234
202915	1.025	1.192	0.8627	0.9413	0.9214	1.797	0.597	0.6634	0.6983	0.9521	0.8011	1.01	1.346	0.9522	1.573	1.283	1.257	1.124
