GeneID	GSM6855732	GSM6855733	GSM6855734	GSM6855735	GSM6855736	GSM6855737	GSM6855738	GSM6855739	GSM6855740
651302	0.4053	0.6895	0.3702	1.002	0.9573	1.787	0.8285	0.7783	0.8872
100189159	0	0	0	0	0	0	0	0	0
222699	0.521	0.3165	0.204	0.2927	0.3596	0.8202	0.4564	0.5161	0.2962
7746	1.699	1.817	1.388	1.859	1.92	1.242	1.782	1.621	2.002
387032	1.117	0.4182	0.9046	1.468	1.063	1.555	1.507	1.641	1.572
222698	0	0	0	0	0	0	0	0	0
7741	2.34	1.447	1.244	1.53	2.101	1.671	1.609	1.861	1.312
84547	0.6295	0.4139	0.6	0.6767	0.5876	0.6032	0.5315	0.6423	0.5447
64288	0.0562	0.01328	0.06417	0.1105	0.04525	0.04039	0.158	0.1799	0.2656
80317	0.3624	0.4338	0.3972	0.8688	1.011	0.6019	0.9383	0.8762	1.058
9753	0.551	0.5526	0.6574	0.9225	1.026	0.9267	0.5861	0.6238	0.8727
105374998	0	0	0	0	0	0	0	0	0
105374997	0.09472	0	0.04326	0.07983	0.07626	0.3404	0.09681	0.101	0.377
222696	0.04648	0.02196	0	0.07835	0.1497	0.1336	0.03563	0.04958	0.09249
100189344	0	0	0	0	0	0	0	0	0
100189118	0	0	0	0	0	0	0	0	0
100189035	0	0	0	0	0	0	0	0	0
257202	0	0	0	0	0	0	0	0	0
2880	0	0	0	0	0	0	0	0	0
100189348	0	0	0	0	0	0	0	0	0
107986586	0	0	0	0	0	0	0	0	0
100189034	0	0	0	0	0	0	0	0	0
114821	0	0	0	0	0	0.01456	0	0	0
100189138	0	0	0	0	0	0	0	0	0
100189225	0	0	0	0	0	0	0	0	0
100189299	0	0	0	4.173	0	0	0	0	3.695
105374996	0	0	0	0	0	0	0	0	0
100189114	0	0	0	0	0	0	0	0	0
100189360	0	0	0	0	0	0	0	0	0
387055	0	0	0	0	0	0	0	0	0
100189046	0	0	0	0	0	0	0	0	1.847
100189400	0	0	0	0	0	0	0	0	0
100189395	0	0	0	0	0	0	0	0	0
100189092	0	0	0	0	0	0	0	0	0
100189433	0	0	0	0	0	0	0	0	0
100189033	0	0	0	0	0	0	0	0	0
100189178	0	0	0	0	0	0	0	0	0
100189365	0	0	1.673	0	0	0	0	0	0
100189332	0	0	0	0	0	0	0	0	0
100189082	0	0	0	0	0	0	0	0	0
100189149	0	0	0	0	0	0	0	0	0
100189137	0	0	0	0	0	0	0	0	0
100189346	0	0	0	0	0	0	0	0	0
100189170	0	0	0	0	0	0	0	0	0
100189066	0	0	0	0	0	0	0	0	0
100189093	0	0	0	0	0	0	0	0	0
401242	0	0	0.04384	0	0	0.09199	0	0	0
100189295	0	0	0	0	0	0	0	0	0
100189084	0	0	0	0	0	0	0	0	0
107987402	1.61	0	0	0	0	0	0	0	0
414760	0	0	0	0	0	0	0	0	0
5987	31.44	31.29	33.87	32.8	32.21	37.52	35.5	34.89	31.96
100189237	0	0	0	0	0	0	0	0	0
100189121	0	0	0	0	0	0	0	0	0
100189202	0	0	0	0	0	0	0	0	0
729583	0.5311	0.1673	0.1617	0	0	0	0	0.3777	0
100189216	0	0	0	0	0	0	0	0	0
100189234	0	0	0	0	0	0	0	0	0
100189111	0	0	0	0	0	0	0	0	0
100189254	0	0	0	0	0	0	0	0	0
100189024	0	0	0	0	0	0	0	0	0
414761	0	0	0	0.1331	0.1271	0.3404	0	0	0.2356
100189169	0	1.541	0	0	0	0	0	0	0
282890	0.1257	0.1188	0.05742	0.07064	0	0.09035	0.09637	0.1341	0.1251
105375002	0	0	0	0	0	0	0.1125	0	0
100129636	0	0	0	0	0	0	0	0	0
26692	0	0	0	0	0	0	0	0	0
442184	0	0	0	0	0	0	0	0	0
442185	0	0	0	0	0	0	0	0	0
105375003	0	0	0	0	0	0	0	0	0
442186	0	0	0	0	0	0	0	0	0
26707	0	0	0	0	0	0	0	0	0
101929006	0	0	0	0	0	0	0	0	0
105375006	0	0	0	0	0	0	0	0	0
105375005	0	0	0	0	0	0	0	0	0
442191	0	0	0	0	0	0	0	0	0
81696	0	0	0	0	0	0	0	0	0
81797	0	0	0	0	0	0	0	0	0
26529	0	0	0	0	0	0	0	0	0
105379641	0	0	0	0	0	0	0	0	0
26530	0	0	0	0	0	0	0	0	0
26531	0	0	0	0	0	0	0	0	0
442194	0	0	0	0	0	0	0	0	0
26716	0	0	0	0	0	0	0	0	0
105375008	0	0	0	0	0	0	0	0	0
116511	0	0	0	0	0	0	0	0	0.1056
105375009	0	0	0	0	0	0	0	0	0
100507362	0	0	0	0	0	0	0	0	0
10537	0	0.2826	0	0	0	0	0	0	0
692092	0	0	0	0	0	0	0	0	0
7932	0.07119	0.02243	0	0	0	0.04548	0	0	0
2550	1.749	1.906	1.936	1.503	1.414	0.9859	0.673	0.3073	0.4095
4340	0	0	0	0	0	0	0	0	0
346171	0	0	0	0	0	0	0	0	0
3134	0.5989	2.872	0.8916	2.393	1.238	2.657	0.5668	3.715	1.589
285830	0.5613	0.2653	0.7692	0.3154	0.226	0.5379	0.6454	0.5988	0.8378
340198	0	0	0	0.4392	0	0	0.7989	0.4169	0
54435	0.3926	0.2473	0.3586	0.07353	0.1405	0.2508	0.3344	0.0698	0.2604
352962	0.5201	0.1966	0.3801	0.1169	0	0.1994	0.319	0.111	0.207
3135	1.313	1.241	2.024	1.199	0.7928	1.179	0.6709	0.7878	0.4899
105375010	0.1421	0	0.04325	0	0	0	0	0.05051	0.04711
352990	0	0	0	0	0	0	0	0	0
3136	81.61	79.87	135.6	117.6	98.56	123.5	134.3	105.5	111.8
80868	0.1019	0.04814	0.09307	0.1717	0.05469	0.2441	0.2083	0.1087	0
3105	588.5	591.1	690.8	695.6	606.7	661.9	677.6	578.1	614.5
10255	0	0	0	0	0	0	0	0.2184	0
80862	0.5368	0.2705	0.2615	0.4826	0.3265	0.5658	0.256	0.4199	0.1246
3137	9.554	10.74	19.26	18.86	11.83	18.06	19.71	11.48	14.56
30834	14.61	13.06	15.64	14.3	9.949	11.14	13.49	13.91	11.57
6992	39.33	39.27	34.81	31.56	35.45	36.11	34.04	42.26	38.35
