GeneID	GSM4552489	GSM4552490	GSM4552491	GSM4552492
51710	2.666	2.774	1.711	1.352
147837	0.195	0.08784	0.05942	0
79973	1.671	1.479	0.1452	0.1275
90576	7.404	7.613	2.426	2.218
10224	8.524	8.463	1.683	1.871
163051	1.438	1.449	0.7304	0.5816
163050	13.21	12.59	7.7	7.146
105372278	0.5623	0.3166	0.1428	0.2314
57474	5.027	4.989	5.64	4.63
163049	10.64	10.58	14.12	13.05
105372279	1.548	1.743	2.562	2.234
4125	183.2	188.3	565.4	518.8
84292	31.36	32.1	33.28	30.92
51398	54.81	60.74	62.85	70.41
1725	79.87	83.1	71.71	69.49
105372280	0.5815	0.6548	0.2953	0.3191
84261	14.36	13.45	9.337	10.57
30000	62.23	58.73	51.37	43.89
106633804	11.53	6.493	2.51	5.425
26810	3.53	5.963	1.793	0.9687
79002	344.9	350.9	259.1	283.5
439	92.61	96.68	81.29	91.63
54831	0.06144	0.06919	0.1248	0.06744
29911	12.74	13.23	21.97	17.53
100847071	0.9505	2.141	0.9654	0
3726	60.43	63.11	211.6	234.8
7001	328.2	343.6	150.4	173.2
10535	93.86	98.06	16.33	15.54
83546	0.04372	0.02462	0.06661	0.024
105372281	0.09608	0	0	0.1055
22983	0.8402	0.9318	0.4008	0.3773
102466196	0	0	0	0
1777	14.44	16.66	108.6	120.2
10661	0.1089	0	0.03687	0.03984
2639	15.67	16.5	10.49	9.748
256126	3.46	3.74	1.94	1.549
100847016	0.7269	0.8185	3.691	0.7978
2193	208	207.6	125.8	134.8
106144598	21.53	20.78	15.1	14.91
811	2013	2130	1464	1619
102466659	3.252	4.882	3.303	1.19
5886	187.2	189	154.8	166
90480	112.4	114.5	78.04	88.59
199699	0.07134	0.08034	0.03623	0
4784	13.09	13.81	4.567	4.672
107985286	0	0	0	0
4066	32.4	32.48	18.31	17.6
105372282	8.8	8.84	12.98	11.02
55621	35.02	34.59	46.53	42.04
112939	72.41	75.36	86.51	94.14
8677	22.75	21.47	101.7	98.24
9592	36.48	36.93	84.64	86.9
107985288	0	0	0.2299	0
773	1.678	1.509	31.22	24.06
105372283	0	0	0	0
107985287	0	0	0	0
105372284	0	0.04601	0	0
81576	33.22	31.86	59.73	52.61
84245	23.96	23.54	23.06	19.21
28974	98.42	102.7	73.31	85.88
65249	1.841	1.852	59.45	59.35
107985334	0.2655	0.1993	7.372	5.343
284454	2.529	2.004	16.41	9.66
407013	0	0	6.877	4.645
407018	0.7921	0	3.218	3.478
407010	0.8463	0	6.877	6.503
342977	0	0.1134	0.4091	0.3316
406957	0	0	0	0
574457	0	0	0.458	0.99
79173	4.865	5.008	1.06	1.128
54862	29.37	29.65	28.55	26.48
79883	1.469	1.635	3.471	3.132
90379	71.2	68.6	64.53	64.06
5989	9.529	10.22	9.053	8.784
107985309	0.2148	0.1612	0.4363	0
117579	0.05114	0.05759	0	0
9466	9.613	10.71	21.21	22.64
342979	0	0.05213	0	0.05081
113230	0	0.1529	0.1839	0.04968
102466515	0	0	0	0
646457	0.04421	0.09956	0.02245	0.04852
90378	72.98	72.83	34.66	31.59
5566	44.06	42.72	61.14	65.62
55723	168.4	178.7	24.22	19.91
100507373	6.61	5.95	11.12	8.664
22859	26.11	26.36	13.3	10.49
105372288	0.6469	0.4857	0	0
101928845	0	0	0	0
976	71.53	75.25	100.4	93.47
10212	187.5	189	117.6	108.5
5585	136.3	138.3	124.3	132.2
5731	2.755	2.61	1.688	2.064
10755	48.92	50.91	94.03	98.41
3337	50.03	52.4	48.74	52.25
9524	227	230.6	67.22	71.6
