GeneID	GSM3098174	GSM3098175	GSM3098176	GSM3098177	GSM3098178	GSM3098179	GSM3098180	GSM3098181	GSM3098182	GSM3098183	GSM3098184	GSM3098185	GSM3098186	GSM3098187	GSM3098188	GSM3098189	GSM3098190	GSM3098191	GSM3098192	GSM3098193	GSM3098194	GSM3098195
10780	0.1188	0.0486	0.9295	0.7051	1.126	1.032	1.69	1.171	0.6135	0.7679	0.3232	0.5496	0.1869	1.491	1.058	1.576	0.5996	0.4406	1.296	0.1144	0.2684	0.4859
7769	0.2182	0.2922	0.9547	0.5818	0.9996	0.5714	0.5291	0.399	0.3513	0.2821	0.2429	0.3029	0.866	0.747	0.9806	2.172	0.2703	0.2943	0.5566	0.2293	0.1614	0.3652
7770	9.437	11.25	13.49	12.91	17.65	23.15	32.17	22.99	21.57	18.52	3.551	5.626	9.957	16.87	10.83	29.84	12.78	24.51	19.21	21.17	10.01	10.73
353355	0.1109	0	0	0.0581	0	0	0.2367	0.03281	0.03069	0.3944	0	0	0.2618	0.174	0	0	0	0	0	0	0.0752	0
9310	1.279	1.308	2.502	2.065	3.374	3.289	3.525	3.72	1.062	2.825	0.5075	1.257	1.509	3.077	3.773	2.983	3.147	4.678	2.575	2.771	1.806	5.64
7771	0	0	0	0	0	0.07313	0	0	0	0	0	0	0	0	0	0	0.1615	0	0	0.07702	0	0.1636
26974	0	0	0	0.06886	0	0	0.03507	0.3501	0.07276	0	0	0	0.1163	0	0.1317	0.6133	0	0	0	0	0	0.1008
7772	0	0	0	0	0.1932	0.1025	0.03988	0.7077	0	0	0	0	0	0.09383	0.2497	0.2325	0	0	0.1165	0	0	0
7733	1.309	3.99	3.339	5.769	5.25	6.502	6.648	7.105	4.247	5.545	1.351	1.504	4.315	5.78	4.403	7.413	1.367	3.852	6.052	3.978	1.836	1.731
125931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5241	0	0	0
388550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0914	0	0.1036	0	0	0	0	0
147710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107985305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5817	0.203	0	0.7943	0.4607	0.08744	0.232	1.011	0.2002	0	0.3062	0.4603	0	0.1198	0.4672	0	0	0.3586	0	0.05274	0	0.04587	0.3633
100616355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56971	0.2753	0	0.4309	0.2884	2.135	0	0	0	0	0	0.7493	0	0	0	0.4905	0	0	0.7944	0	0	0	0.2816
107985306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
388551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
602	3.186	5.409	4.341	6.388	7.829	6.746	2.729	3.631	6.663	7.935	1.713	2.075	2.275	4.692	3.68	7.146	6.673	3.941	3.68	3.638	1.974	1.75
102465879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
