GeneID	GSM7113703	GSM7113704	GSM7113705	GSM7113706	GSM7113707	GSM7113709	GSM7113710	GSM7113711	GSM7113713	GSM7113714	GSM7113716	GSM7113717	GSM7113718
10181	16.06	20.42	18.83	24.48	16.06	16.35	27.37	13.84	28.92	24.31	16.19	73.56	67.75
100775107	2.291	3.229	2.845	4.351	2.104	2.386	5.007	1.605	4.992	4.203	2.098	13.67	13.96
100129060	2.222	3.065	2.94	3.44	2.729	2.201	5.184	2.468	4.405	3.67	2.293	21.09	12.87
107986035	0	0.1346	0.141	0	0.203	0	0	0	0.15	0	0	0.151	0.2393
6405	0	0.04284	0.02244	0.06047	0.03231	0	0.06354	0	0.04777	0	0	0.02404	4.152
2779	0	0	0	0	0	0	0	0	0	0	0	0	0
10991	0	0	0	0	0	0	0	0	0	0	0	0.0711	0.05633
2771	586.3	587.8	558.4	604.5	654.5	402.5	501.2	561.9	641.9	615.5	660.6	788.7	549.9
102464817	0	0	0	0	0	0	0	0	0	0	0	0	0
101928931	0	0	0	0.2832	0	0	0	0	0	0	0	0	0
7869	0.03158	0.02833	0	0	0.08549	0	0.02802	0	0	0.03061	0.05587	0.0636	0.5542
102465526	0	0	0	0	0	0	0	0	0	1.773	0	0	0
132228	1.435	2.207	2.312	1.834	1.886	1.196	1.455	1.251	1.845	1.669	1.668	1.197	3.924
7866	18.87	20.45	20.77	20.56	25.47	13.28	17.26	20.69	16.08	15.37	19.78	14.13	52.83
8372	13.66	18.93	19.22	16.92	27.84	12.87	10.44	18.24	18.39	17.3	23.21	3.392	48.57
24142	4.749	5.343	5.102	4.71	8.469	2.565	3.21	3.698	5.731	4.384	7.335	6.148	14.43
3373	0	0	0.1337	0.02402	0.1155	0.02766	0.1514	0	0.1708	0	0.1258	0.487	0.5447
8692	22.02	21.42	23.26	22.56	29.03	23.78	25.69	33.99	21.17	24.71	26.45	12.62	11.12
11334	35.82	32.56	41.89	31.78	33.54	30.83	29.27	29.8	35.97	38.51	39.72	33.55	35.44
11186	13.72	14.94	20.32	21.9	22.45	6.374	10.75	6.491	13.83	16.39	13.92	73.26	45.12
102060282	0.7176	1.288	0.9443	1.333	2.331	0.4186	1.019	0.4694	1.149	0.9738	0.8886	7.08	6.64
51364	0.3045	0.6556	0.6868	1.028	0.989	0.1776	0.2161	0	1.096	1.003	1.239	1.901	1.943
10641	10.3	11.61	12.32	12.87	11.73	9.081	12.08	10.49	10.58	12.16	9.008	25.66	23.7
